PM_ET0,PM_ETF,PM_ETV,TH_ET0,TH_ETF,TH_ETV,BC_ET0,BC_ETF,BC_ETV,TU_ET0,TU_ETF,TU_ETV,PT_ET0,PT_ETF,PT_ETV,AB_ET0,AB_ETF,AB_ETV
3.2,2.3,1.95,1.09,1.05,0.81,3.09,1.48,1.3,2.59,2.49,1.84,4.7,2.48,2.16,4.33,2.29,2.08
3.25,2.34,1.98,1.52,1.46,1.12,3.41,1.64,1.43,2.31,2.22,1.64,2.87,1.52,1.32,2.65,1.4,1.27
3.89,2.8,2.37,1.15,1.1,0.85,3.13,1.5,1.31,1.1,1.06,0.78,1.59,0.84,0.73,1.47,0.78,0.71
3.08,2.22,1.88,0.38,0.36,0.28,2.64,1.27,1.11,0.57,0.55,0.4,3.24,1.71,1.49,2.99,1.58,1.44
2.82,2.03,1.72,0,0,0,2.41,1.16,1.01,0,0,0,4.81,2.54,2.21,4.44,2.34,2.13
2.57,1.85,1.57,0,0,0,2.21,1.06,0.93,0,0,0,3.4,1.8,1.56,3.14,1.66,1.51
2.52,1.81,1.54,0,0,0,1.97,0.95,0.83,0,0,0,4.68,2.47,2.15,4.32,2.28,2.07
2.39,1.72,1.46,0,0,0,1.99,0.96,0.84,0,0,0,4.66,2.46,2.14,4.3,2.27,2.06
2.47,1.78,1.51,0,0,0,2.15,1.03,0.9,0,0,0,4.05,2.14,1.86,3.74,1.97,1.8
2.18,1.57,1.33,0,0,0,2.2,1.06,0.92,0,0,0,2.58,1.36,1.19,2.38,1.26,1.14
2.77,1.99,1.69,0.12,0.12,0.09,2.51,1.2,1.05,0.09,0.09,0.06,2,1.06,0.92,1.85,0.98,0.89
2.5,1.8,1.53,0.37,0.36,0.27,2.63,1.26,1.1,0.56,0.54,0.4,3.28,1.73,1.51,3.03,1.6,1.45
4.8,3.46,2.93,1.28,1.23,0.95,3.23,1.55,1.36,3.19,3.06,2.26,4.97,2.62,2.29,4.58,2.42,2.2
3.35,2.41,2.04,0.74,0.71,0.55,2.85,1.37,1.2,1.55,1.49,1.1,4.18,2.21,1.92,3.86,2.04,1.85
3.58,2.58,2.18,1.62,1.56,1.2,3.49,1.68,1.47,2.36,2.27,1.68,2.77,1.46,1.27,2.56,1.35,1.23
2.66,1.92,1.62,1.08,1.04,0.8,3.08,1.48,1.29,1.71,1.64,1.21,2.95,1.56,1.36,2.72,1.44,1.31
3.23,2.33,1.97,1.42,1.36,1.05,3.33,1.6,1.4,2.82,2.71,2,3.88,2.05,1.78,3.58,1.89,1.72
3.5,2.52,2.14,1.41,1.35,1.04,3.33,1.6,1.4,3.42,3.28,2.43,4.85,2.56,2.23,4.48,2.37,2.15
4.01,2.89,2.45,1.8,1.73,1.33,3.64,1.75,1.53,3.67,3.52,2.61,4.14,2.19,1.9,3.82,2.02,1.83
3.49,2.51,2.13,1.86,1.79,1.38,3.69,1.77,1.55,1.94,1.86,1.38,1.89,1,0.87,1.75,0.92,0.84
3.91,2.82,2.39,1.36,1.31,1.01,3.29,1.58,1.38,2.53,2.43,1.8,3.59,1.9,1.65,3.32,1.75,1.59
3.34,2.4,2.04,1.36,1.31,1.01,3.29,1.58,1.38,2.9,2.78,2.06,4.18,2.21,1.92,3.86,2.04,1.85
3.58,2.58,2.18,1.49,1.43,1.1,3.39,1.63,1.42,3.36,3.23,2.39,4.49,2.37,2.07,4.14,2.19,1.99
3.41,2.46,2.08,1.27,1.22,0.94,3.22,1.55,1.35,2.41,2.31,1.71,3.67,1.94,1.69,3.39,1.79,1.63
3.64,2.62,3.2,2.01,1.93,2.15,4.18,2.01,2.55,4.51,4.33,4.69,4.72,2.49,3.16,4.36,2.3,3.05
4.45,3.2,3.92,2.43,2.33,2.6,4.59,2.2,2.8,5.51,5.29,5.73,5,2.64,3.35,4.62,2.44,3.23
4.31,3.1,3.79,2.52,2.42,2.7,4.68,2.25,2.85,4.91,4.71,5.11,4.28,2.26,2.87,3.95,2.09,2.77
5.34,3.84,4.7,2.51,2.41,2.69,4.67,2.24,2.85,4.86,4.67,5.05,4.25,2.24,2.85,3.92,2.07,2.74
4.24,3.05,3.73,2.63,2.52,2.81,4.79,2.3,2.92,3.16,3.03,3.29,2.5,1.32,1.68,2.3,1.21,1.61
5.42,3.9,4.77,2.23,2.14,2.39,4.39,2.11,2.68,3.19,3.06,3.32,2.9,1.53,1.94,2.68,1.42,1.88
4.28,3.08,3.77,1.77,1.7,1.89,3.96,1.9,2.42,2.16,2.07,2.25,2.28,1.2,1.53,2.1,1.11,1.47
3.43,2.47,3.02,1.4,1.34,1.5,3.64,1.75,2.22,2.07,1.99,2.15,2.78,1.47,1.86,2.56,1.35,1.79
3.35,2.41,2.95,0.99,0.95,1.06,3.31,1.59,2.02,1.4,1.34,1.46,2.62,1.38,1.76,2.41,1.27,1.69
4,2.88,3.52,1.53,1.47,1.64,3.75,1.8,2.29,2.8,2.69,2.91,3.57,1.88,2.39,3.29,1.74,2.3
4.05,2.92,3.56,1.58,1.52,1.69,3.8,1.82,2.32,4.74,4.55,4.93,6.17,3.26,4.13,5.69,3,3.98
3.2,2.3,2.82,1.66,1.59,1.78,3.86,1.85,2.35,1.98,1.9,2.06,2.18,1.15,1.46,2.01,1.06,1.41
3.21,2.31,2.82,1.66,1.59,1.78,3.86,1.85,2.35,1.98,1.9,2.06,2.18,1.15,1.46,2.01,1.06,1.41
3.21,2.31,2.82,1.66,1.59,1.78,3.86,1.85,2.35,1.98,1.9,2.06,2.18,1.15,1.46,2.01,1.06,1.41
3.21,2.31,2.82,1.66,1.59,1.78,3.86,1.85,2.35,1.98,1.9,2.06,2.18,1.15,1.46,2.01,1.06,1.41
3.21,2.31,2.82,1.66,1.59,1.78,3.86,1.85,2.35,1.98,1.9,2.06,2.18,1.15,1.46,2.01,1.06,1.41
3.22,2.32,2.83,1.66,1.59,1.78,3.86,1.85,2.35,1.98,1.9,2.06,2.18,1.15,1.46,2.01,1.06,1.41
2.94,2.12,2.59,2.25,2.16,2.41,4.42,2.12,2.7,2.1,2.02,2.18,1.73,0.91,1.16,1.59,0.84,1.11
4.44,3.2,3.91,1.48,1.42,1.58,3.71,1.78,2.26,1.54,1.48,1.6,1.8,0.95,1.21,1.66,0.88,1.16
4.21,3.03,3.7,1.25,1.2,1.34,3.52,1.69,2.15,2.09,2.01,2.17,3.17,1.67,2.12,2.92,1.54,2.04
3.6,2.59,3.17,1.72,1.65,1.84,3.92,1.88,2.39,3.46,3.32,3.6,4.04,2.13,2.71,3.72,1.96,2.6
3.81,2.74,3.35,1.63,1.56,1.74,3.84,1.84,2.34,4.49,4.31,4.67,5.67,2.99,3.8,5.23,2.76,3.66
4.16,3,3.66,2.19,2.1,2.34,4.35,2.09,2.65,5.2,4.99,5.41,5.11,2.7,3.42,4.72,2.49,3.3
4.78,3.44,4.21,2.29,2.2,2.45,4.45,2.14,2.71,5.31,5.1,5.52,5.04,2.66,3.38,4.65,2.46,3.26
3.92,2.82,3.45,2.23,2.14,2.39,4.39,2.11,2.68,2.02,1.94,2.1,1.66,0.88,1.11,1.53,0.81,1.07
4.64,3.34,4.08,2.28,2.19,2.44,4.44,2.13,2.71,5.1,4.9,5.3,4.86,2.57,3.26,4.48,2.37,3.14
3.72,2.68,3.27,2.82,2.71,3.02,4.98,2.39,3.04,3.86,3.71,4.01,2.99,1.58,2,2.76,1.46,1.93
4.28,3.08,3.77,2.34,2.25,2.5,4.5,2.16,2.75,4.22,4.05,4.39,3.86,2.04,2.59,3.56,1.88,2.49
4.4,3.17,3.87,2.13,2.04,2.28,4.3,2.06,2.62,3.32,3.19,3.45,3.17,1.67,2.12,2.92,1.54,2.04
4.02,2.89,3.54,2.55,2.45,2.73,4.71,2.26,2.87,4.43,4.25,4.61,3.78,2,2.53,3.49,1.84,2.44
4.65,3.35,4.09,2.48,2.38,2.65,4.64,2.23,2.83,5.97,5.73,6.21,5.38,2.84,3.6,4.96,2.62,3.47
5.05,3.64,5.91,2.78,2.67,3.95,5.23,2.51,4.24,7.3,7.01,10.07,6.15,3.25,5.47,5.68,3,5.28
4.42,3.18,5.17,2.95,2.83,4.19,5.41,2.6,4.38,6.07,5.83,8.38,4.83,2.55,4.3,4.45,2.35,4.14
4.1,2.95,4.8,2.86,2.75,4.06,5.31,2.55,4.3,4.39,4.21,6.06,3.44,1.82,3.06,3.17,1.67,2.95
3.77,2.71,4.41,2.77,2.66,3.93,5.22,2.51,4.23,3.26,3.13,4.5,2.5,1.32,2.23,2.3,1.21,2.14
3.35,2.41,3.92,2.5,2.4,3.55,4.93,2.37,3.99,3.06,2.94,4.22,2.52,1.33,2.24,2.32,1.22,2.16
3.85,2.77,4.5,2.42,2.32,3.44,4.85,2.33,3.93,4.01,3.85,5.53,3.54,1.87,3.15,3.26,1.72,3.03
4.5,3.24,5.27,2.5,2.4,3.55,4.93,2.37,3.99,4.68,4.49,6.46,4.1,2.16,3.65,3.78,2,3.52
3.54,2.55,4.14,2.41,2.31,3.42,4.84,2.32,3.92,3.11,2.99,4.29,2.65,1.4,2.36,2.44,1.29,2.27
4.21,3.03,4.93,2.87,2.76,4.08,5.33,2.56,4.32,6.12,5.88,8.45,4.97,2.62,4.42,4.58,2.42,4.26
3.85,2.77,4.5,3.01,2.89,4.27,5.48,2.63,4.44,2.67,2.56,3.68,1.82,0.96,1.62,1.68,0.89,1.56
4.53,3.26,5.3,2.81,2.7,3.99,5.26,2.52,4.26,3.11,2.99,4.29,2.33,1.23,2.07,2.15,1.14,2
5.28,3.8,6.18,2.73,2.62,3.88,5.18,2.49,4.2,4.56,4.38,6.29,3.72,1.96,3.31,3.43,1.81,3.19
3.82,2.75,4.47,2.29,2.2,3.25,4.71,2.26,3.82,2.56,2.46,3.53,2.18,1.15,1.94,2.01,1.06,1.87
2.65,1.91,3.1,1.47,1.41,2.09,3.92,1.88,3.18,0.79,0.76,1.09,0.7,0.37,0.62,0.65,0.34,0.6
4.09,2.94,4.79,1.8,1.73,2.56,4.23,2.03,3.43,1.91,1.83,2.64,1.91,1.01,1.7,1.77,0.93,1.65
5.31,3.82,6.21,2.67,2.56,3.79,5.11,2.45,4.14,6.79,6.52,9.37,5.87,3.1,5.22,5.41,2.86,5.03
5.06,3.64,5.92,3.66,3.51,5.2,6.23,2.99,5.05,7.78,7.47,10.74,5.51,2.91,4.9,5.08,2.68,4.72
4.67,3.36,5.46,3.2,3.07,4.54,5.69,2.73,4.61,4.88,4.68,6.73,3.58,1.89,3.19,3.3,1.74,3.07
4.54,3.27,5.31,2.82,2.71,4,5.27,2.53,4.27,5.09,4.89,7.02,4.11,2.17,3.66,3.79,2,3.52
3.53,2.54,4.13,2.36,2.27,3.35,4.79,2.3,3.88,1.67,1.6,2.3,1.22,0.64,1.09,1.12,0.59,1.04
4.54,3.27,5.31,2.63,2.52,3.73,5.07,2.43,4.11,5,4.8,6.9,4.24,2.24,3.77,3.92,2.07,3.65
5.11,3.68,5.98,3.08,2.96,4.37,5.57,2.67,4.51,6.27,6.02,8.65,4.86,2.57,4.33,4.48,2.37,4.17
5.34,3.84,6.25,3.39,3.25,4.81,5.91,2.84,4.79,8.58,8.24,11.84,6.42,3.39,5.71,5.92,3.13,5.51
5.39,3.88,6.31,2.58,2.48,3.66,5.01,2.4,4.06,5.45,5.23,7.52,4.73,2.5,4.21,4.36,2.3,4.05
5.33,3.84,6.24,2.57,2.47,3.65,5,2.4,4.05,7.4,7.1,10.21,6.62,3.5,5.89,6.11,3.23,5.68
5.11,3.68,5.98,2.98,2.86,4.23,5.46,2.62,4.42,8.18,7.85,11.29,6.62,3.5,5.89,6.11,3.23,5.68
5.17,3.72,6.05,3.36,3.23,4.77,5.88,2.82,4.76,8.63,8.28,11.91,6.5,3.43,5.79,5.99,3.16,5.57
4.52,3.25,5.29,3.7,3.55,5.25,6.27,3.01,5.08,6.78,6.51,9.36,4.71,2.49,4.19,4.34,2.29,4.04
4.16,3,4.87,3.34,3.21,4.74,5.86,2.81,4.75,5.15,4.94,7.11,3.69,1.95,3.28,3.4,1.8,3.16
5.62,4.05,6.58,2.91,2.79,4.13,5.38,2.58,4.36,6.86,6.59,9.47,5.57,2.94,4.96,5.14,2.71,4.78
5.08,3.66,7.37,3.31,3.18,5.79,5.66,2.72,5.66,8.46,8.12,14.38,6.42,3.39,7.06,5.92,3.13,6.81
5.08,3.66,7.37,3.59,3.45,6.28,5.98,2.87,5.98,8.78,8.43,14.93,6.35,3.35,6.99,5.85,3.09,6.73
4.2,3.02,6.09,3.66,3.51,6.41,6.05,2.9,6.05,5.11,4.91,8.69,3.45,1.82,3.8,3.18,1.68,3.66
5.41,3.9,7.84,2.95,2.83,5.16,5.27,2.53,5.27,5.93,5.69,10.08,4.71,2.49,5.18,4.35,2.3,5
5.28,3.8,7.66,2.99,2.87,5.23,5.31,2.55,5.31,7.49,7.19,12.73,6.02,3.18,6.62,5.55,2.93,6.38
4.91,3.54,7.12,3.37,3.24,5.9,5.73,2.75,5.73,6.78,6.51,11.53,4.99,2.63,5.49,4.61,2.43,5.3
5.19,3.74,7.53,3.66,3.51,6.41,6.06,2.91,6.06,7.76,7.45,13.19,5.5,2.9,6.05,5.07,2.68,5.83
6.15,4.43,8.92,3.76,3.61,6.58,6.16,2.96,6.16,8.28,7.95,14.08,5.81,3.07,6.39,5.36,2.83,6.16
5.46,3.93,7.92,3.85,3.7,6.74,6.28,3.01,6.28,8.14,7.81,13.84,5.62,2.97,6.18,5.18,2.74,5.96
4.61,3.32,6.68,3.61,3.47,6.32,5.99,2.88,5.99,7.06,6.78,12,5,2.64,5.5,4.61,2.43,5.3
6.05,4.36,8.77,3.49,3.35,6.11,5.86,2.81,5.86,8.48,8.14,14.42,6.23,3.29,6.85,5.74,3.03,6.6
6.12,4.41,8.87,3.63,3.48,6.35,6.02,2.89,6.02,8.88,8.52,15.1,6.39,3.37,7.03,5.89,3.11,6.77
4.37,3.15,6.34,3.86,3.71,6.76,6.29,3.02,6.29,4.78,4.59,8.13,3.1,1.64,3.41,2.86,1.51,3.29
5.21,3.75,7.55,3.68,3.53,6.44,6.08,2.92,6.08,8.28,7.95,14.08,5.88,3.1,6.47,5.42,2.86,6.23
4.45,3.2,6.45,3.61,3.47,6.32,5.99,2.88,5.99,5.48,5.26,9.32,3.77,1.99,4.15,3.48,1.84,4
5.5,3.96,7.98,3.83,3.68,6.7,6.25,3,6.25,8.85,8.5,15.05,6.18,3.26,6.8,5.7,3.01,6.56
4.96,3.57,7.19,4.01,3.85,7.02,6.47,3.11,6.47,8.86,8.51,15.06,6.02,3.18,6.62,5.55,2.93,6.38
4.51,3.25,6.54,3.66,3.51,6.41,6.06,2.91,6.06,6.49,6.23,11.03,4.51,2.38,4.96,4.16,2.2,4.78
6.71,4.83,9.73,3.34,3.21,5.85,5.69,2.73,5.69,7.68,7.37,13.06,5.75,3.04,6.33,5.3,2.8,6.1
5.99,4.31,8.69,3.74,3.59,6.55,6.15,2.95,6.15,8.45,8.11,14.37,5.95,3.14,6.55,5.48,2.89,6.3
5.6,4.03,8.12,3.82,3.67,6.69,6.24,3,6.24,8.58,8.24,14.59,5.97,3.15,6.57,5.51,2.91,6.34
4.36,3.14,6.32,3.64,3.49,6.37,6.04,2.9,6.04,4.94,4.74,8.4,3.33,1.76,3.66,3.07,1.62,3.53
5.31,3.82,7.7,3.55,3.41,6.21,5.93,2.85,5.93,8.29,7.96,14.09,6,3.17,6.6,5.54,2.93,6.37
4.56,3.28,6.61,3.65,3.5,6.39,6.04,2.9,6.04,8.4,8.06,14.28,6,3.17,6.6,5.53,2.92,6.36
4.98,3.59,7.22,3.78,3.63,6.62,6.19,2.97,6.19,6.91,6.63,11.75,4.75,2.51,5.23,4.38,2.31,5.04
4.96,3.57,7.19,3.93,3.77,6.88,6.37,3.06,6.37,8.51,8.17,14.47,5.83,3.08,6.41,5.38,2.84,6.19
4.86,3.5,7.05,4.03,3.87,7.05,6.49,3.12,6.49,8.44,8.1,14.35,5.7,3.01,6.27,5.25,2.77,6.04
4.63,3.33,6.71,4.28,4.11,7.49,6.78,3.25,6.78,8.64,8.29,14.69,5.66,2.99,6.23,5.21,2.75,5.99
4.72,3.4,6.84,4.33,4.16,7.58,6.84,3.28,6.84,8,7.68,13.6,5.17,2.73,5.69,4.77,2.52,5.49
4.83,3.48,7,4.08,3.92,7.14,6.55,3.14,6.55,8.29,7.96,14.09,5.55,2.93,6.11,5.12,2.7,5.89
4.76,3.43,6.9,4.16,3.99,7.28,6.64,3.19,6.64,8.46,8.12,14.38,5.61,2.96,6.17,5.17,2.73,5.95
4.36,3.14,6.32,4,3.84,7,5.9,2.83,5.9,6.7,6.43,11.39,4.43,2.34,4.87,4.09,2.16,4.7
5.27,3.79,7.64,4.32,4.15,7.56,6.24,3,6.24,8.5,8.16,14.45,5.52,2.91,6.07,5.09,2.69,5.85
6.26,4.51,9.08,3.9,3.74,6.83,5.79,2.78,5.79,8.14,7.81,13.84,5.58,2.95,6.14,5.14,2.71,5.91
6.55,4.72,9.5,4.15,3.98,7.26,6.05,2.9,6.05,7.52,7.22,12.78,4.93,2.6,5.42,4.55,2.4,5.23
6.01,4.33,8.71,3.4,3.26,5.95,5.27,2.53,5.27,7.55,7.25,12.84,5.57,2.94,6.13,5.14,2.71,5.91
5.98,4.31,8.67,3.69,3.54,6.46,5.57,2.67,5.57,7.73,7.42,13.14,5.43,2.87,5.97,5.01,2.65,5.76
5.34,3.84,7.74,3.67,3.52,6.42,5.54,2.66,5.54,7.62,7.32,12.95,5.37,2.84,5.91,4.96,2.62,5.7
5.7,4.1,8.27,3.87,3.72,6.77,5.76,2.76,5.76,7.97,7.65,13.55,5.47,2.89,6.02,5.04,2.66,5.8
5.29,3.81,7.67,4.02,3.86,7.04,5.92,2.84,5.92,7.99,7.67,13.58,5.36,2.83,5.9,4.95,2.61,5.69
4.18,3.01,6.06,4.28,4.11,7.49,6.2,2.98,6.2,4.17,4,7.09,2.47,1.3,2.72,2.28,1.2,2.62
4.5,3.24,6.53,3.91,3.75,6.84,5.8,2.78,5.8,7.01,6.73,11.92,4.73,2.5,5.2,4.36,2.3,5.01
4.22,3.04,6.12,3.97,3.81,6.95,5.86,2.81,5.86,5.05,4.85,8.59,3.24,1.71,3.56,2.99,1.58,3.44
4.66,3.36,6.76,3.78,3.63,6.62,5.67,2.72,5.67,7.03,6.75,11.95,4.84,2.56,5.32,4.46,2.35,5.13
5.04,3.63,7.31,3.7,3.55,6.48,5.58,2.68,5.58,7.64,7.33,12.99,5.36,2.83,5.9,4.94,2.61,5.68
4.6,3.31,6.67,3.59,3.45,6.28,5.47,2.63,5.47,7.43,7.13,12.63,5.29,2.79,5.82,4.88,2.58,5.61
4.29,3.09,6.22,3.74,3.59,6.55,5.62,2.7,5.62,7.3,7.01,12.41,5.07,2.68,5.58,4.68,2.47,5.38
4.41,3.18,6.39,3.9,3.74,6.83,5.79,2.78,5.79,7.53,7.23,12.8,5.12,2.7,5.63,4.72,2.49,5.43
4.26,3.07,6.18,4.16,3.99,7.28,6.07,2.91,6.07,7.59,7.29,12.9,4.98,2.63,5.48,4.59,2.42,5.28
4.37,3.15,6.34,4.26,4.09,7.46,6.18,2.97,6.18,7.53,7.23,12.8,4.87,2.57,5.36,4.49,2.37,5.16
4.4,3.17,6.38,4.18,4.01,7.32,6.09,2.92,6.09,6.78,6.51,11.53,4.38,2.31,4.82,4.04,2.13,4.65
3.99,2.87,5.79,3.97,3.81,6.95,5.87,2.82,5.87,5.95,5.71,10.12,3.91,2.06,4.3,3.6,1.9,4.14
4.66,3.36,6.76,3.94,3.78,6.9,5.83,2.8,5.83,6.67,6.4,11.34,4.46,2.35,4.91,4.11,2.17,4.73
3.68,2.65,5.34,3.82,3.67,6.69,5.71,2.74,5.71,6.38,6.12,10.85,4.32,2.28,4.75,3.98,2.1,4.58
3.25,2.34,4.71,3.45,3.31,6.04,5.32,2.55,5.32,2.69,2.58,4.57,1.65,0.87,1.82,1.52,0.8,1.75
4.18,3.01,6.06,3.63,3.48,6.35,5.5,2.64,5.5,5.3,5.09,9.01,3.62,1.91,3.98,3.34,1.76,3.84
3.7,2.66,5.37,3.47,3.33,6.07,5.34,2.56,5.34,4.18,4.01,7.11,2.83,1.49,3.11,2.61,1.38,3
4.5,3.24,6.53,3.33,3.2,5.83,5.19,2.49,5.19,3.59,3.45,6.1,2.43,1.28,2.67,2.24,1.18,2.58
4.74,3.41,6.87,2.62,2.52,4.59,4.49,2.16,4.49,5.29,5.08,8.99,4.53,2.39,4.98,4.18,2.21,4.81
3.62,2.61,5.25,3.01,2.89,5.27,4.88,2.34,4.88,5.97,5.73,10.15,4.67,2.47,5.14,4.31,2.28,4.96
3.9,2.81,5.66,3.37,3.24,5.9,5.24,2.52,5.24,6.38,6.12,10.85,4.67,2.47,5.14,4.3,2.27,4.95
3.69,2.66,5.35,3.54,3.4,6.2,5.41,2.6,5.41,5.93,5.69,10.08,4.17,2.2,4.59,3.84,2.03,4.42
3.67,2.64,4.04,4.07,3.91,5.41,5.23,2.51,3.97,6.57,6.31,8.48,4.3,2.27,3.61,3.96,2.09,3.45
4.09,2.94,4.5,3.73,3.58,4.96,4.91,2.36,3.73,6.15,5.9,7.93,4.2,2.22,3.53,3.88,2.05,3.38
3.58,2.58,3.94,3.54,3.4,4.71,4.73,2.27,3.59,4.77,4.58,6.15,3.25,1.72,2.73,3,1.58,2.61
3.22,2.32,3.54,3.51,3.37,4.67,4.71,2.26,3.58,5.59,5.37,7.21,3.92,2.07,3.29,3.62,1.91,3.15
4.1,2.95,4.51,3.5,3.36,4.66,4.7,2.26,3.57,5.97,5.73,7.7,4.22,2.23,3.54,3.89,2.05,3.38
4.6,3.31,5.06,3.22,3.09,4.28,4.45,2.14,3.38,5.79,5.56,7.47,4.31,2.28,3.62,3.97,2.1,3.45
3.36,2.42,3.7,3.3,3.17,4.39,4.52,2.17,3.44,4.31,4.14,5.56,3.03,1.6,2.55,2.79,1.47,2.43
3.84,2.76,4.22,3.53,3.39,4.69,4.72,2.27,3.59,5,4.8,6.45,3.44,1.82,2.89,3.18,1.68,2.77
3.74,2.69,4.11,2.43,2.33,3.23,3.78,1.81,2.87,3.84,3.69,4.95,3.34,1.76,2.81,3.08,1.63,2.68
3.02,2.17,3.32,2.31,2.22,3.07,3.68,1.77,2.8,4.53,4.35,5.84,4.2,2.22,3.53,3.87,2.04,3.37
2.95,2.12,3.25,2.43,2.33,3.23,3.78,1.81,2.87,3.65,3.5,4.71,3.15,1.66,2.65,2.91,1.54,2.53
3,2.16,3.3,2.93,2.81,3.9,4.2,2.02,3.19,4.16,3.99,5.37,3.17,1.67,2.66,2.92,1.54,2.54
2.61,1.88,2.87,3.06,2.94,4.07,4.31,2.07,3.28,2.6,2.5,3.35,1.74,0.92,1.46,1.6,0.84,1.39
3.21,2.31,3.53,2.84,2.73,3.78,4.12,1.98,3.13,3.91,3.75,5.04,3.02,1.59,2.54,2.79,1.47,2.43
2.99,2.15,3.29,2.71,2.6,3.6,4.01,1.92,3.05,4.11,3.95,5.3,3.32,1.75,2.79,3.06,1.62,2.66
2.67,1.92,2.94,3.02,2.9,4.02,4.28,2.05,3.25,3.9,3.74,5.03,2.87,1.52,2.41,2.65,1.4,2.31
3.25,2.34,3.58,2.64,2.53,3.51,3.95,1.9,3,4.51,4.33,5.82,3.76,1.99,3.16,3.47,1.83,3.02
2.94,2.12,3.23,2.33,2.24,3.1,3.7,1.78,2.81,3.22,3.09,4.15,2.82,1.49,2.37,2.6,1.37,2.26
2.66,1.92,2.93,3.05,2.93,4.06,4.3,2.06,3.27,3.57,3.43,4.61,2.58,1.36,2.17,2.38,1.26,2.07
3.05,2.2,3.36,2.62,2.52,3.48,3.94,1.89,2.99,3.79,3.64,4.89,3.09,1.63,2.6,2.85,1.5,2.48
3.12,2.25,3.43,2.1,2.02,2.79,3.52,1.69,2.68,3.68,3.53,4.75,3.6,1.9,3.02,3.32,1.75,2.89
2.94,2.12,3.23,2.47,2.37,3.29,3.81,1.83,2.9,1.05,1.01,1.35,0.55,0.29,0.46,0.51,0.27,0.44
2.65,1.91,2.92,2.01,1.93,2.67,3.44,1.65,2.61,2.02,1.94,2.61,1.85,0.98,1.55,1.71,0.9,1.49
2.78,2,3.06,2.61,2.51,3.47,3.92,1.88,2.98,4.12,3.96,5.31,3.43,1.81,2.88,3.16,1.67,2.75
2.6,1.87,2.86,2.52,2.42,3.35,3.86,1.85,2.93,4.08,3.92,5.26,3.48,1.84,2.92,3.21,1.69,2.79
2.33,1.68,2.56,2.65,2.54,3.52,3.96,1.9,3.01,4.19,4.02,5.41,3.46,1.83,2.91,3.19,1.68,2.78
2.16,1.56,2.38,2.72,2.61,3.62,4.02,1.93,3.06,4.21,4.04,5.43,3.4,1.8,2.86,3.14,1.66,2.73
2.25,1.62,2.48,2.81,2.7,3.74,4.1,1.97,3.12,3.71,3.56,4.79,2.87,1.52,2.41,2.65,1.4,2.31
2.67,1.92,2.94,3.14,3.01,4.18,4.38,2.1,3.33,2.82,2.71,3.64,1.89,1,1.59,1.74,0.92,1.51
3.37,2.43,3.71,2.29,2.2,3.05,3.67,1.76,2.79,3.01,2.89,3.88,2.65,1.4,2.23,2.45,1.29,2.13
